id,area,requirement,implementation_status,implementation_quality_0_5,task_fit_quality_0_5,target_runtime_status,source_chain_evidence,acceptance_finding
AUD-01,Audit,Every application feature has a user story and expected behavior,PARTIAL,4,4,UNVERIFIED,docs/FEATURE_SPREADSHEET.csv; docs/activity-checklists/,Canonical registry remains present; independent round artifacts now make verification boundaries explicit.
AUD-02,Process,"Test every story, document errors, fix logic/UX, then retest",PARTIAL,3,3,UNVERIFIED,full swift test on Linux fails at SwiftUI import; activity index marks live WebKit as PARTIAL,Round 46 adds adversarial regression and retest evidence; full macOS cycle remains unavailable in Linux.
AUD-03,MiCoder Auto Free,Normal free-provider text send returns a real non-empty answer,PARTIAL,3,3,UNVERIFIED,ChatPanelView.swift:653-700; MiCoderAutoFreeProvider.swift:114-207,Auto Free live-catalog guard and failover severity were hardened; anonymous endpoint response remains unverified.
AUD-04,MiCoder Auto Free,Obsolete Mimo Auto is removed from the default user-facing path and renamed MiCoder Auto Free,PARTIAL,4,4,UNVERIFIED,SendRouteResolver.swift; AppLocalization.swift; MiCoderAutoFreeProvider.swift,MiCoder Auto Free remains the active route; historical compatibility references are not runtime user-facing.
AUD-05,MiCoder Auto Free,Anonymous OpenCode free models such as Big Pickle work without an API key,PARTIAL,3,3,UNVERIFIED,"MiCoderAutoFreeClient.swift:9-24,124-143; MiCoderAutoFreeProvider.swift:66-79",Live allow-list guard is enforced before stream send; endpoint/authentication success remains unverified.
AUD-06,MiCoder Auto Free,Rate-limit/five-failure failover switches model and shows a prominent red alert,PARTIAL,4,4,UNVERIFIED,MiCoderAutoFreeProvider.swift:149-203; NotificationService.swift:69-80; ChatPanelView.swift:1591-1633,Rate-limit notifications now use error severity and red banner path; macOS visual proof remains unverified.
AUD-07,MiCoder Auto Free,"Catalog is compact, complete, refreshable, lockable, and exposes model status/parameters",PARTIAL,4,4,UNVERIFIED,"MiCoderAutoFreeProvider.swift:21-27,82-107; ProvidersSettingsView.swift",Catalog/status/profile UI and model lock state are hardened; live catalog completeness remains unverified.
AUD-08,Provider UX,Provider-local edit/delete/refresh/login controls are discoverable and persistent,PARTIAL,5,5,UNVERIFIED,"WebProvidersSection.swift:52-128,218-364; ModelSettingsView.swift:104","Provider-local controls, named session picker, full accordion and remove actions are present; hit-target runtime remains unverified."
AUD-09,Sidebar UX,Sidebar resize keeps all actions reachable and moves secondary actions into a menu,PARTIAL,4,4,UNVERIFIED,SidebarView.swift:132-199; ContentView.swift:7-23,Existing source implementation remains; no new target interaction evidence.
AUD-10,Header UX,Only one unified header remains when no project is selected,PARTIAL,4,4,UNVERIFIED,ContentView.swift:25-41; TopBarView.swift:13-112; ChatPanelCompactHeader is defined but unused,Existing single-header source path remains; no empty-project macOS render evidence.
AUD-11,Web Detection,Built-in DOM detection and free-AI detection are separate explicit modes,PARTIAL,5,5,UNVERIFIED,WebProvidersSection.swift:724-812,DOM and AI modes are separate; AI candidates now pass strict vendor validation and remain unselectable until DOM verification.
AUD-12,Web Send,Text reaches the selected provider through hidden WKWebView and a real response is rendered,PARTIAL,4,4,UNVERIFIED,ChatPanelView.swift:1044-1220; WebChatDriver.swift:32-115; activity-checklists/06-web-chat.md,Send path is fail-closed on injection and remote-chat binding; real WebKit response remains unverified.
AUD-13,Web Send,Exact selected model/effort are injected; failures are visible and never silently substitute,PARTIAL,5,5,UNVERIFIED,WebChatDriver.swift:256-355; WebModelDiscovery.swift:278-326,"Exact model/effort injection, unsupported-model effort gating and one-shot refresh retry are implemented; live confirmation remains unverified."
AUD-14,Web Send,"System prompt is editable, persisted, and used in web-agent first-turn behavior",PARTIAL,4,4,UNVERIFIED,WebProviderConfig.swift; WebProvidersSection.swift:367-432; WebChatDriver.swift:47-52,System prompt preamble path remains; remote target observation remains unverified.
AUD-15,Web Discovery,Every live model including nested Expand more models entries such as Qwen Coder is discovered,PARTIAL,5,5,UNVERIFIED,WebModelDiscovery.swift:191-272; WebProvidersSection.swift:745-770; screenshot findings,"Strict DOM candidates, two-level fingerprinted expansion and Qwen Coder regression pass; live vendor DOM remains unverified."
AUD-16,Web Discovery,Effort is discovered immediately for every model and hidden for unsupported models,PARTIAL,5,5,UNVERIFIED,"WebProvidersSection.swift:125-128,745-770; screenshot provider cards show Effort: not detected",Per-model effort/profile status and selector hiding are explicit; live Kimi/Qwen controls remain unverified.
AUD-17,Web Discovery,UI labels such as Model and Model Comparison are rejected as non-models,PARTIAL,5,5,UNVERIFIED,"WebModelListParser.swift; WebProviderConfig.swift WebProviderStore.sanitize; WebBrowserRuntimeTests.swift",Strict validator plus load-time migration purge reject new and previously persisted UI noise; live DOM remains unverified.
AUD-18,Web Discovery,Results are classified active/inactive/unsupported and invalid entries can be removed,PARTIAL,5,5,UNVERIFIED,WebProviderModel.swift; WebProvidersSection.swift:337-353; ModelSettingsView.swift:1047-1059,active/inactive/unsupported/notDetected/error plus isSelectable and unavailable-row removal are implemented; live UI remains unverified.
AUD-19,Model UX,"Detected model list stays visible, complete, and uses a full-width accordion without an eight-row cap",PARTIAL,5,5,UNVERIFIED,WebProvidersSection.swift:265-353; ModelSettingsView.swift:864-907,Full-width persistent accordion renders every discovered row with no prefix(8); macOS visual interaction remains unverified.
AUD-20,Model UX,Clicking a model row selects it; vertical menu contains no redundant Choose/Select action,PARTIAL,5,5,UNVERIFIED,ModelSettingsView.swift:980-1132,Full row click selects and Select/Выбрать was removed from menu; macOS hit behavior remains unverified.
AUD-21,Web Parameters,"Temperature, max tokens and top-p profile is discovered and saved per model without overwriting overrides",PARTIAL,5,5,UNVERIFIED,ModelCallParameters.swift:25-38; WebModelDiscovery.swift:312-368,Profile values/labels are shown in settings and overrides remain separate; live controls remain unverified.
AUD-22,Web Recovery,Injection failure refreshes live catalog before a safe retry,PARTIAL,5,5,UNVERIFIED,ChatPanelView.swift:1173-1267; MiCoderApp.swift:1334-1343,"Typed pre-send injection failure aborts, refreshes same page once and retries same remote chat without duplicate send; WebKit failure trigger remains unverified."
AUD-23,Web Sessions,Change login creates independent named sessions and switches/restores cookies,PARTIAL,5,5,UNVERIFIED,"WebProvidersSection.swift:72-128,235-264; WebSessionManager.swift; WebBrowserRuntimeTests.swift",Named persistence plus sessionID-keyed browser pool and post-login refresh use the new account; real two-account switching remains unverified.
