area,id,name,user_story,expected_behavior,activity,status,severity,bugs_found,fix_applied,test_result
App,APP-01,Window Management,"As a user, I want the app to open with proper window sizing and layout","Window opens at 1200x750 default, min 900x600",01-app-shell,PASS,NONE,,NONE,GREEN
App,APP-02,Menu Bar Commands,"As a user, I want standard keyboard shortcuts for Cut/Copy/Paste/Select All","Cmd+X/C/V/A work in all text fields",01-app-shell,PASS,NONE,,NONE,GREEN
App,APP-03,New Task Command,"As a user, I want Cmd+N to create a new task","Cmd+N calls startNewTask and clears the chat",01-app-shell,PASS,NONE,,NONE,GREEN
App,APP-04,Search Command,"As a user, I want Cmd+K to open search palette","Cmd+K opens SearchPaletteView sheet",01-app-shell,PASS,NONE,,NONE,GREEN
App,APP-05,Rebrand to MiCoder,"As a user, I want the app branded MiCoder, not MiMo","App name, ~/.micoder paths, com.micoder keys",01-app-shell,PASS,NONE,,NONE,GREEN
App,APP-06,Serve Send Feedback,"As a user, I want direct provider sending to show progress and clear failure","Thinking placeholder, robust response decoding, typed empty-response failure",03-chat-panel,PARTIAL,MEDIUM,,NONE,GREEN
App,APP-07,Startup Connection Readiness,"As a user, I want MiCoder to reach usable composer even without server","Auto Free available; server models load after health check",01-app-shell,PASS,NONE,,NONE,GREEN
Sidebar,SID-01,Workspace List Display,"As a user, I want to see all my workspaces in the left sidebar","Workspaces displayed in list or grid view, sorted, filtered",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-02,Workspace Section Header,"As a user, I want to expand/collapse the workspaces section","Click chevron toggles expanded",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-03,Workspace Sort,"As a user, I want to sort workspaces by name/recent/task count","Sort menu cycles WorkspaceSortOrder",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-04,Workspace Filter,"As a user, I want to search/filter workspaces by name","Search field filters via SidebarWorkspaceLogic.filtered",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-05,Workspace View Mode,"As a user, I want to toggle between list and grid view","Toggle switches workspaceViewMode .list/.grid",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-06,Workspace Selection,"As a user, I want to click a workspace to select it","Clicking workspace sets selectedWorkspace",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-07,Session List per Workspace,"As a user, I want to see sessions/tasks under each workspace","Expanded workspace shows up to 12 sessions",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-08,Session Selection,"As a user, I want to click a session to open it in chat","Tap session row calls selectSession",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-09,New Task from Sidebar,"As a user, I want to create a new task from the sidebar","New Task row (Cmd+N)",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-10,New Project,"As a user, I want to create a new project from the sidebar","New Project (Cmd+Shift+P) opens NewProjectSheet",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-11,Navigation History,"As a user, I want back/forward navigation between workspaces","Chevron buttons navigate workspace history stack",02-sidebar,PASS,NONE,"FIX-02: isNavigatingHistory data race",FIX-02,GREEN
Sidebar,SID-12,Sidebar Toggle,"As a user, I want to show/hide the sidebar","Sidebar icon toggles appState.sidebarVisible",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-13,User Profile,"As a user, I want to see my avatar/initials and name in sidebar footer","Circle with initials + displayName",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-14,Notifications Button,"As a user, I want to open notifications from sidebar footer","Bell icon opens NotificationsSheet",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-15,Settings Button,"As a user, I want to open settings from sidebar footer","Gear icon opens settings",02-sidebar,PASS,NONE,,NONE,GREEN
